:START_ID,:END_ID,:TYPE,order:int
1695022436858335232,1695022365928460289,CONTAINS,1
1695022365928460289,1695022365928460290,CONTAINS,1
1695022365928460289,1695022365928460291,CONTAINS,2
1695022436858335232,1695022365928460292,CONTAINS,2
1695022365928460292,1695022365928460293,CONTAINS,1
1695022365928460292,1695022365928460294,CONTAINS,2
1695022436858335232,1695022365928460295,CONTAINS,3
1695022365928460295,1695022365928460296,CONTAINS,1
1695022365928460295,1695022365928460297,CONTAINS,2
1695022365928460295,1695022365928460298,CONTAINS,3
1695022365928460295,1695022365928460299,CONTAINS,4
1695022365928460295,1695022365928460300,CONTAINS,5
1695022365928460295,1695022365928460301,CONTAINS,6
1695022436858335232,1695022365928460302,CONTAINS,4
1695022365928460302,1695022365928460303,CONTAINS,1
1695022365928460302,1695022365928460304,CONTAINS,2
1695022365928460302,1695022365928460305,CONTAINS,3
1695022436858335232,1695022365928460306,CONTAINS,5
1695022365928460306,1695022365928460307,CONTAINS,1
1695022365928460306,1695022365928460308,CONTAINS,2
1695022365928460306,1695022365932654683,CONTAINS,3
1695022436858335232,1695022365928460309,CONTAINS,6
1695022365928460309,1695022365928460310,CONTAINS,1
1695022365928460309,1695022365928460311,CONTAINS,2
1695022365928460309,1695022365928460312,CONTAINS,3
1695022454440857600,1695022365928460313,CONTAINS,1
1695022365928460313,1695022365928460314,CONTAINS,1
1695022365928460313,1695022365928460315,CONTAINS,2
1695022365928460313,1695022365928460316,CONTAINS,3
1695022454440857600,1695022365928460317,CONTAINS,2
1695022365928460317,1695022365928460318,CONTAINS,1
1695022454440857600,1695022365928460319,CONTAINS,3
1695022365928460319,1695022365928460320,CONTAINS,1
1695022365928460319,1695022365928460321,CONTAINS,2
1695022365928460319,1695022365928460322,CONTAINS,3
1695022365928460319,1695022365928460323,CONTAINS,4
1695022365928460319,1695022365932654684,CONTAINS,5
1695022454440857600,1695022365928460324,CONTAINS,4
1695022365928460324,1695022365928460325,CONTAINS,1
1695022365928460324,1695022365928460326,CONTAINS,2
1695022454440857600,1695022365928460327,CONTAINS,5
1695022365928460327,1695022365928460328,CONTAINS,1
1695022365928460327,1695022365928460329,CONTAINS,2
1695022365928460327,1695022365928460330,CONTAINS,3
1695022365928460327,1695022365928460331,CONTAINS,4
1695022365928460327,1695022365932654685,CONTAINS,5
1695022454440857600,1695022365928460332,CONTAINS,6
1695022365928460332,1695022365928460333,CONTAINS,1
1695022365928460332,1695022365928460334,CONTAINS,2
1695022365928460332,1695022365928460335,CONTAINS,3
1695022454440857600,1695022365928460336,CONTAINS,7
1695022365928460336,1695022365928460337,CONTAINS,1
1695022365928460336,1695022365928460338,CONTAINS,2
1695022365928460336,1695022365928460339,CONTAINS,3
1695022365928460336,1695022365928460340,CONTAINS,4
1695022365928460336,1695022365928460341,CONTAINS,5
1695022454440857600,1695022365928460342,CONTAINS,8
1695022365928460342,1695022365928460343,CONTAINS,1
